                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1138,                 3.2971,                 1.4708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012138,             0.00012138,             0.00012138
                      2,                 1.4993,                0.84084,                 1.0562,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024743,             0.00024743,             0.00024743
                      3,                 1.4397,                0.69955,                 1.0406,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037093,             0.00037093,             0.00037093
                      4,                 1.4446,                 0.6642,                 1.0255,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00049188,             0.00049188,             0.00049188
                      5,                 1.4453,                0.66017,                 1.0338,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006103,              0.0006103,              0.0006103
                      6,                 1.4524,                0.68351,                 1.0323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.4459,                 0.6751,                 1.0205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.4146,                0.64192,                 1.0291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.4282,                0.63166,                 1.0217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.4373,                0.63169,                 1.0252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.3696,                0.60537,                 1.0051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.3969,                0.60955,                 1.0091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.4141,                0.60472,                 1.0127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.4058,                0.61282,                0.99708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062918,             0.00062918,             0.00062918
                     15,                  1.383,                0.58945,                0.98967,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062211,             0.00062211,             0.00062211
                     16,                  1.409,                0.60125,                 1.0075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.3633,                0.59158,                0.99942,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.3899,                0.58528,                0.99403,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.3289,                0.57814,                 1.0005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.3325,                0.56285,                 0.9957,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.3567,                 0.5693,                0.99232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.3491,                0.56497,                0.98356,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.3763,                0.58174,                0.98581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.3457,                0.57247,                0.97934,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00055849,             0.00055849,             0.00055849
