                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5709,                 1.1269,                 1.1346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023626,             0.00023626,             0.00023626
                      2,                 1.5188,                0.76702,                 1.1009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00046487,             0.00046487,             0.00046487
                      3,                 1.5086,                0.75089,                 1.0991,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068406,             0.00068406,             0.00068406
                      4,                 1.4941,                0.69957,                 1.0817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.4493,                 0.6709,                  1.066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.4535,                0.66413,                  1.057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.4071,                0.63742,                  1.044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.4126,                0.63527,                 1.0514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.3984,                0.62366,                 1.0537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00061504,             0.00061504,             0.00061504
                     10,                  1.409,                0.61459,                 1.0349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.4017,                0.61427,                 1.0319,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.3662,                0.58763,                 1.0322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.3897,                0.59557,                 1.0313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.3498,                0.58285,                 1.0206,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.3489,                0.57757,                 1.0232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.3535,                0.57751,                 1.0251,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00051608,             0.00051608,             0.00051608
                     17,                  1.347,                0.57072,                 1.0166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.3448,                0.56376,                 1.0142,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.3331,                0.55619,                 1.0211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.3054,                0.54123,                 1.0126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00045953,             0.00045953,             0.00045953
