                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4782,                 1.2162,                 1.0717,                0.81729,                0.79192,                0.85527,                0.51155,                 1.4681,                0.85788,                 1.0515,             0.00023523,             0.00023523,             0.00023523
                      2,                 1.4656,                0.73594,                 1.0781,                0.79835,                 0.7337,                0.79803,                0.43751,                  1.723,                 1.2167,                 1.1893,             0.00046386,             0.00046386,             0.00046386
                      3,                 1.5104,                0.74233,                 1.0772,                0.78792,                0.73826,                0.79729,                0.46094,                  1.539,                 1.0303,                  1.129,             0.00068307,             0.00068307,             0.00068307
                      4,                 1.5169,                0.74012,                 1.0817,                0.85765,                 0.8317,                0.88712,                0.52436,                 1.5194,                0.84744,                 1.1049,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.4891,                0.70769,                 1.0676,                0.89288,                0.84132,                0.89865,                0.53693,                  1.541,                0.73429,                 1.1159,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.4593,                0.67692,                 1.0619,                0.88598,                0.85953,                0.90638,                0.55566,                 1.5078,                0.67349,                  1.088,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.4334,                0.66138,                 1.0562,                0.92314,                0.84856,                0.91043,                0.57493,                 1.4416,                0.66617,                 1.0617,             0.00064331,             0.00064331,             0.00064331
                      8,                  1.439,                0.63699,                 1.0343,                0.90075,                0.88254,                0.93207,                0.59133,                 1.4107,                0.63292,                 1.0488,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.3969,                0.63285,                 1.0343,                0.93094,                 0.8865,                0.94027,                0.60109,                 1.4036,                0.60505,                 1.0438,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.4117,                0.62005,                 1.0362,                0.91552,                 0.8843,                0.93773,                0.59691,                 1.4014,                0.61175,                 1.0406,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.4105,                0.61483,                 1.0232,                0.91647,                0.89405,                0.93728,                0.60588,                 1.4033,                0.59327,                 1.0472,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.3981,                 0.6075,                 1.0255,                0.92564,                0.89533,                0.93632,                0.60322,                 1.3948,                0.59145,                 1.0386,             0.00057263,             0.00057263,             0.00057263
                     13,                  1.396,                0.59894,                 1.0219,                0.93723,                0.89317,                 0.9492,                0.62066,                 1.3853,                0.57454,                 1.0382,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.3775,                0.58995,                 1.0158,                0.91079,                0.89705,                0.94317,                 0.6138,                 1.3788,                0.58077,                 1.0342,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.3741,                0.58233,                 1.0093,                0.94675,                0.88736,                0.94531,                0.62184,                 1.3903,                0.57429,                 1.0373,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.3792,                 0.5815,                 1.0134,                0.93964,                0.89989,                0.94683,                0.62116,                   1.39,                0.57394,                 1.0392,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.3456,                0.57358,                 1.0181,                 0.9344,                0.89343,                0.94453,                0.61836,                 1.3841,                0.57034,                 1.0414,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.3502,                0.56895,                  1.004,                0.93169,                0.90416,                0.94886,                0.62121,                 1.3698,                0.55606,                 1.0337,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.3344,                0.56419,                 1.0074,                0.93884,                0.89474,                0.94702,                0.62025,                 1.3917,                0.56148,                 1.0385,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.3501,                0.56464,                 1.0083,                0.94337,                0.90049,                0.94817,                0.62291,                 1.3869,                0.56165,                 1.0373,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.3004,                0.54741,                 1.0035,                0.93218,                0.91777,                0.95478,                0.63491,                 1.3726,                0.55291,                 1.0347,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.3404,                 0.5562,                0.99852,                0.93737,                0.90756,                0.95461,                0.62971,                 1.3732,                0.54459,                 1.0307,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.3358,                0.55423,                0.99567,                0.93876,                0.90576,                0.95368,                0.62896,                 1.3716,                0.55045,                 1.0228,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.3119,                0.54222,                0.99586,                0.94677,                 0.8972,                0.95292,                0.63237,                 1.3765,                0.54892,                 1.0306,             0.00040298,             0.00040298,             0.00040298
                     25,                  1.291,                0.52786,                0.99693,                0.94046,                0.90978,                0.95443,                 0.6388,                 1.3621,                0.53185,                 1.0304,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.3088,                0.53694,                0.99513,                0.94054,                0.91056,                0.95701,                0.63708,                 1.3762,                0.54103,                 1.0384,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.2932,                0.52466,                0.98605,                0.94373,                0.91348,                0.95502,                0.63765,                 1.3715,                0.53309,                 1.0315,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.3097,                0.52758,                  0.988,                 0.9397,                0.91089,                0.95825,                0.63758,                 1.3607,                0.53251,                 1.0294,             0.00034643,             0.00034643,             0.00034643
                     29,                 1.2553,                0.50759,                0.99161,                0.92395,                0.92471,                0.95768,                0.63976,                 1.3669,                0.53433,                 1.0261,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.2484,                0.50848,                0.98269,                0.93874,                0.91933,                0.95797,                0.63816,                 1.3749,                0.52969,                 1.0347,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.2919,                0.51664,                0.98492,                0.95076,                0.91097,                0.96212,                0.64577,                 1.3605,                0.52502,                 1.0274,             0.00030402,             0.00030402,             0.00030402
                     32,                 1.2714,                0.50871,                0.98028,                0.94373,                0.91337,                0.95888,                0.64175,                 1.3646,                0.52708,                 1.0291,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.2882,                0.51536,                0.97348,                0.94266,                0.91627,                0.95695,                0.63898,                 1.3669,                0.52474,                 1.0275,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.2555,                0.50642,                0.96613,                0.94652,                0.91559,                0.95933,                 0.6428,                 1.3582,                0.51948,                 1.0301,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.2495,                0.50118,                0.97035,                0.93922,                0.91094,                 0.9564,                0.64012,                 1.3586,                0.51854,                 1.0323,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.2199,                 0.4904,                0.97075,                0.93628,                0.91349,                0.95802,                0.64453,                 1.3594,                0.51778,                  1.034,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.2298,                0.48989,                0.96432,                0.94503,                0.91614,                0.96017,                0.64414,                 1.3621,                0.51277,                 1.0319,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.2195,                0.48452,                0.96674,                0.93705,                 0.9154,                0.96005,                0.64414,                 1.3584,                0.51452,                  1.031,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.2117,                0.47955,                0.95955,                0.94385,                0.91858,                0.96034,                0.64789,                 1.3622,                0.51212,                 1.0343,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.2153,                0.48274,                 0.9567,                0.94159,                0.92215,                0.96034,                0.64511,                 1.3667,                0.51264,                 1.0281,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.2549,                0.46924,                0.97494,                0.93943,                0.92693,                  0.962,                0.64575,                 1.3605,                0.50731,                 1.0338,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.2441,                0.46946,                0.96905,                0.94459,                0.91614,                0.96001,                0.64666,                 1.3573,                0.51137,                 1.0294,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.2052,                0.45633,                0.96546,                0.93602,                 0.9267,                0.96005,                0.65218,                 1.3554,                0.51337,                 1.0315,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.2212,                 0.4605,                0.96162,                0.94365,                0.91516,                 0.9598,                0.64989,                 1.3566,                0.51248,                 1.0325,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.1823,                0.44445,                0.96502,                0.93735,                0.92834,                0.96292,                0.65261,                 1.3538,                0.50321,                 1.0315,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.1984,                0.45078,                0.95724,                0.93928,                0.92155,                0.95998,                0.65067,                 1.3582,                0.50606,                 1.0345,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 1.1912,                0.44759,                0.95034,                0.94178,                 0.9231,                0.95984,                0.65169,                 1.3565,                0.50898,                 1.0353,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.2012,                0.45041,                0.94577,                0.94299,                0.92092,                0.95896,                0.65071,                 1.3546,                0.50657,                 1.0349,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 1.1858,                0.44032,                0.95091,                0.94501,                0.91693,                0.95898,                0.64939,                 1.3582,                0.50626,                 1.0368,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.1748,                0.43305,                0.95158,                0.94528,                0.92143,                0.96063,                0.65035,                 1.3565,                0.50148,                  1.038,             3.5414e-05,             3.5414e-05,             3.5414e-05
