                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5322,                 3.6091,                 1.3153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.4586,                 2.9663,                 1.1643,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013432,             0.00013432,             0.00013432
                      3,                 1.4817,                 1.7043,                 1.1459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020296,             0.00020296,             0.00020296
                      4,                 1.3656,                  1.243,                 1.1197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027019,             0.00027019,             0.00027019
                      5,                 1.3011,                 1.0935,                 1.1042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033601,             0.00033601,             0.00033601
                      6,                 1.2733,                 1.0086,                 1.0836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040041,             0.00040041,             0.00040041
                      7,                 1.2659,                0.96576,                 1.0765,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004634,              0.0004634,              0.0004634
                      8,                 1.2474,                0.91734,                 1.0651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00052497,             0.00052497,             0.00052497
                      9,                 1.2231,                 0.8958,                 1.0675,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058513,             0.00058513,             0.00058513
                     10,                 1.2375,                0.87832,                 1.0657,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064388,             0.00064388,             0.00064388
                     11,                 1.2095,                 0.8613,                 1.0706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.2234,                0.84043,                 1.0507,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.1855,                0.82827,                 1.0563,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.1985,                0.81496,                 1.0462,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.1903,                0.81009,                 1.0432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.1696,                0.79115,                  1.048,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.1714,                0.79561,                 1.0465,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00060797,             0.00060797,             0.00060797
