                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1189,                 1.1713,                 1.0955,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023523,             0.00023523,             0.00023523
                      2,                 1.1309,                0.71649,                 1.0813,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00046855,             0.00046855,             0.00046855
                      3,                 1.1945,                0.75644,                 1.1085,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069715,             0.00069715,             0.00069715
                      4,                 1.2109,                0.75788,                 1.1215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1858,                0.72797,                 1.0998,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1598,                0.69405,                 1.0872,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1328,                0.67404,                 1.0808,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067866,             0.00067866,             0.00067866
                      8,                  1.116,                0.65916,                  1.072,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.1018,                0.64311,                 1.0619,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0984,                0.63993,                 1.0622,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065745,             0.00065745,             0.00065745
                     11,                  1.083,                 0.6286,                 1.0574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065038,             0.00065038,             0.00065038
                     12,                   1.08,                0.61738,                 1.0474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.0787,                  0.614,                 1.0392,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.0595,                0.60139,                 1.0379,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.0464,                0.59018,                 1.0316,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062211,             0.00062211,             0.00062211
