                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0714,                 1.2067,                  1.099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023455,             0.00023455,             0.00023455
                      2,                 1.1419,                0.74204,                 1.1231,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00046787,             0.00046787,             0.00046787
                      3,                 1.2002,                0.77518,                 1.1546,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069648,             0.00069648,             0.00069648
                      4,                 1.2075,                0.76042,                   1.14,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069279,             0.00069279,             0.00069279
                      5,                  1.169,                0.72757,                 1.1305,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1289,                0.68938,                 1.1158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1253,                0.67072,                 1.0969,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1147,                 0.6553,                 1.0857,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.0944,                0.63835,                 1.0771,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0813,                0.62137,                 1.0776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0689,                0.61529,                 1.0729,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.0625,                0.61207,                 1.0644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.0415,                0.59497,                 1.0561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.0341,                0.58581,                 1.0425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.0136,                0.57512,                 1.0424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.0106,                0.57051,                 1.0467,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.0013,                 0.5663,                 1.0376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.0011,                0.55812,                 1.0366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006009,              0.0006009,              0.0006009
                     19,                0.99785,                0.55754,                 1.0368,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00059383,             0.00059383,             0.00059383
                     20,                0.98739,                0.54334,                 1.0332,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058677,             0.00058677,             0.00058677
                     21,                0.96856,                0.53777,                  1.031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005797,              0.0005797,              0.0005797
                     22,                0.97878,                0.53502,                 1.0186,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057263,             0.00057263,             0.00057263
                     23,                0.97798,                0.53482,                 1.0215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056556,             0.00056556,             0.00056556
                     24,                0.96384,                0.52672,                 1.0212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00055849,             0.00055849,             0.00055849
                     25,                0.95608,                0.52236,                 1.0211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00055142,             0.00055142,             0.00055142
                     26,                0.95233,                0.51291,                  1.008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00054435,             0.00054435,             0.00054435
                     27,                0.94546,                0.51335,                 1.0071,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00053728,             0.00053728,             0.00053728
                     28,                0.94948,                 0.5095,                  1.003,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00053022,             0.00053022,             0.00053022
                     29,                0.93798,                0.50549,                 1.0097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00052315,             0.00052315,             0.00052315
                     30,                0.91352,                0.49481,                 1.0017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00051608,             0.00051608,             0.00051608
                     31,                0.92272,                0.49528,                 1.0038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00050901,             0.00050901,             0.00050901
                     32,                0.94234,                0.49876,                 1.0046,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00050194,             0.00050194,             0.00050194
                     33,                0.91241,                 0.4855,                0.99414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00049487,             0.00049487,             0.00049487
                     34,                0.94363,                 0.4943,                0.99779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004878,              0.0004878,              0.0004878
                     35,                0.91703,                0.48601,                 1.0015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00048074,             0.00048074,             0.00048074
                     36,                0.91298,                0.48101,                0.98732,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00047367,             0.00047367,             0.00047367
                     37,                0.89905,                0.47327,                 0.9838,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004666,              0.0004666,              0.0004666
                     38,                0.89524,                 0.4699,                0.98055,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00045953,             0.00045953,             0.00045953
                     39,                0.89543,                0.46933,                0.98491,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00045246,             0.00045246,             0.00045246
                     40,                0.89977,                0.47396,                0.99295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044539,             0.00044539,             0.00044539
                     41,                0.88663,                0.46432,                0.98307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00043832,             0.00043832,             0.00043832
                     42,                0.89612,                0.46338,                0.97812,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00043126,             0.00043126,             0.00043126
                     43,                0.87826,                0.45849,                  0.984,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00042419,             0.00042419,             0.00042419
                     44,                0.88046,                0.45444,                0.97958,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00041712,             0.00041712,             0.00041712
                     45,                 0.8558,                0.44239,                0.97348,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00041005,             0.00041005,             0.00041005
                     46,                0.87413,                0.44919,                0.96823,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040298,             0.00040298,             0.00040298
                     47,                 0.8643,                0.44842,                0.97324,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00039591,             0.00039591,             0.00039591
                     48,                0.87387,                0.44416,                0.96296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038884,             0.00038884,             0.00038884
                     49,                0.86462,                0.44082,                0.96531,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038178,             0.00038178,             0.00038178
                     50,                0.86509,                0.44089,                0.96385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037471,             0.00037471,             0.00037471
                     51,                0.86224,                0.43449,                 0.9643,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036764,             0.00036764,             0.00036764
                     52,                0.85123,                0.43365,                0.95585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036057,             0.00036057,             0.00036057
                     53,                0.85623,                0.43579,                0.95905,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003535,              0.0003535,              0.0003535
                     54,                0.84155,                0.42962,                0.96131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034643,             0.00034643,             0.00034643
                     55,                0.83037,                0.42131,                0.95969,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033936,             0.00033936,             0.00033936
                     56,                 0.8338,                0.42395,                0.95905,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003323,              0.0003323,              0.0003323
